交易日,投资者帐号,可用资金,期货结算准备金,经纪公司代码,资金差额,平仓盈亏,手续费,信用额度,当前保证金总额,投资者交割保证金,入金金额,交易所交割保证金,交易所保证金,冻结的资金,冻结的手续费,冻结的保证金,利息收入,利息基数,质押金额,持仓盈亏,上次结算准备金,上次信用额度,上次存款额,上次占用的保证金,上次质押金额,基本准备金,结算编号,出金金额,可取资金
20161125,031116,818770.274925,836052.524925,9999,0,759.999999999986,113.535075,0,16127.25,0,0,0,16127.25,0,0,0,0,0,0,395.000000000015,835011.06,0,821214.36,13796.7,0,0,1,0,573947.6924475
20161125,031116,834880.226175,835815.226175,9999,0,934.999999999986,130.833825,0,0,0,0,0,0,0,0,0,0,0,0,0,835011.06,0,821214.36,13796.7,0,0,1,0,585070.6583225
20161124,031116,831266.12,839365.77,9999,0,0,0,0,7549.65,0,0,0,7549.65,0,0,0,0,0,0,550,838815.77,0,831266.12,7549.65,0,0,1,0,582271.284
20161124,031116,822591.02275,839168.77275,9999,0,-540,21.99725,0,15662.75,0,0,0,15662.75,0,0,0,0,0,0,915,838815.77,0,831266.12,7549.65,0,0,1,0,576454.215925
20161124,031116,822591.02275,839328.77275,9999,0,-540,21.99725,0,15662.75,0,0,0,15662.75,0,0,0,0,0,0,1075,838815.77,0,831266.12,7549.65,0,0,1,0,576566.215925
20161124,031116,822591.02275,839393.77275,9999,0,-540,21.99725,0,15662.75,0,0,0,15662.75,0,0,0,0,0,0,1140,838815.77,0,831266.12,7549.65,0,0,1,0,576611.715925
20161124,031116,823382.2069,839218.3569,9999,0,545,52.4131,0,15291.15,0,0,0,15291.15,0,0,0,0,0,0,-90,838815.77,0,831266.12,7549.65,0,0,1,0,576749.04483
20161128,031116,835846.32,835846.32,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,835846.32,0,835846.32,0,0,0,1,0,835846.32
20161125,031116,821214.36,838031.06,9999,0,0,0,0,13796.7,0,0,0,13796.7,0,0,0,0,0,0,3020,835011.06,0,821214.36,13796.7,0,0,1,0,576964.052
20161125,031116,831557.6005,837976.6005,9999,0,2500,14.4595,0,3439,0,0,0,3439,0,0,0,0,0,0,480,835011.06,0,821214.36,13796.7,0,0,1,0,584176.32035
20161125,031116,811024.4869,837344.0869,9999,0,2720,46.9731,0,23599.6,0,0,0,23599.6,0,0,0,0,0,0,-340,835011.06,0,821214.36,13796.7,0,0,1,0,569621.14083
20161125,031116,811094.4869,837414.0869,9999,0,2720,46.9731,0,23599.6,0,0,0,23599.6,0,0,0,0,0,0,-270,835011.06,0,821214.36,13796.7,0,0,1,0,569670.14083
20161128,031116,810226.32,835616.32,9999,0,0,30,0,25390,0,0,0,25390,0,0,0,0,0,0,-200,835846.32,0,835846.32,0,0,0,1,0,567158.424
20161128,031116,810426.32,837016.32,9999,0,0,30,0,25390,0,0,0,25390,0,0,0,0,0,0,1200,835846.32,0,835846.32,0,0,0,1,0,568138.424
20161130,031116,802040.99,827780.99,9999,0,0,0,0,25740,0,0,0,25740,0,0,0,0,0,0,0,827780.99,0,802040.99,25740,0,0,1,0,561428.693
20161130,031116,827720.99,837320.99,9999,0,9600,60,0,0,0,0,0,0,0,0,0,0,0,0,0,827780.99,0,802040.99,25740,0,0,1,0,586124.693
20161130,031116,810274.364,835878.364,9999,0,8300,102.626,0,17304,0,0,0,17304,0,0,0,0,0,0,-100,827780.99,0,802040.99,25740,0,0,1,0,573002.0548
20161130,20051875,0,0,8080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20161130,901200953,1,1,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
20161130,031116,827648.364,833048.364,9999,0,5400,132.626,0,0,0,0,0,0,0,0,0,0,0,0,0,827780.99,0,802040.99,25740,0,0,1,0,583133.8548
20161130,031116,809472.7425,835734.7425,9999,0,5400,146.2475,0,18162,0,0,0,18162,0,0,0,0,0,0,2700,827780.99,0,802040.99,25740,0,0,1,0,572300.91975
20161201,031116,813494.74,831734.74,9999,0,0,0,0,18240,0,0,0,18240,0,0,0,0,0,0,0,831734.74,0,813494.74,18240,0,0,1,0,569446.318
20161201,031116,804635.8295,804635.8295,9999,0,-26500,598.9105,0,0,0,0,0,0,0,0,0,0,0,0,0,831734.74,0,813494.74,18240,0,0,1,0,563245.08065
20161201,031116,789035.8295,789035.8295,9999,0,-41699.9999999999,998.9105,0,0,0,0,0,0,0,0,0,0,0,0,0,831734.74,0,813494.74,18240,0,0,1,0,552325.08065
20161201,031116,766147.3523,788043.3523,9999,0,-42419.9999999999,1071.3877,0,21896,0,0,0,21896,0,0,0,0,0,0,-200.000000000029,831734.74,0,813494.74,18240,0,0,1,0,536303.14661
20161201,031116,736527.3983,792415.3983,9999,0,-43419.9999999999,1139.3417,0,50648,0,0,0,50648,0,0,0,0,0,0,5240.00000000003,831734.74,0,813494.74,18240,0,0,1,0,519237.17881
20161130,031116,802040.99,852580.99,9999,0,0,0,0,25740,0,0,0,25740,0,0,0,0,0,0,24800,827780.99,0,802040.99,25740,0,0,1,0,578788.693
20161202,031116,756915.52,788241.52,9999,0,0,0,0,31326,0,0,0,31326,0,0,0,0,0,0,0,788241.52,0,756915.52,31326,0,0,1,0,529840.864
20161202,031116,752810.2804,784411.3554,9999,0,-6319.99999999994,270.1646,0,23918,0,0,0,23918,0,3.075,4920,0,0,0,2760.00000000003,788241.52,0,756915.52,31326,0,0,1,0,528899.19628
20161202,031116,710095.2096,783376.2846,9999,0,-9319.99999999994,505.2354,0,63398,0,0,0,63398,0,3.075,4920,0,0,0,4960.00000000003,788241.52,0,756915.52,31326,0,0,1,0,500538.64672
