10:08:01.508 DEBUG [7] 合约:m1705,最新价:2870,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2865,涨停价:3042,跌停价:2754,更新时间:10:07:59,毫秒数:863,平均价:2884.81459216693,最新价与平均价距离:-14.814592166927,成交量:716960,交易日:20170310 
10:09:02.006 DEBUG [7] 合约:m1705,最新价:2870,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2865,涨停价:3042,跌停价:2754,更新时间:10:08:59,毫秒数:804,平均价:2884.75223417052,最新价与平均价距离:-14.7522341705162,成交量:719954,交易日:20170310 
10:10:01.511 DEBUG [7] 合约:m1705,最新价:2871,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2865,涨停价:3042,跌停价:2754,更新时间:10:09:58,毫秒数:839,平均价:2884.70461227541,最新价与平均价距离:-13.7046122754077,成交量:722420,交易日:20170310 
10:11:02.005 DEBUG [7] 合约:m1705,最新价:2869,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2865,涨停价:3042,跌停价:2754,更新时间:10:10:59,毫秒数:790,平均价:2884.56922194599,最新价与平均价距离:-15.5692219459856,成交量:728844,交易日:20170310 
10:12:02.506 DEBUG [7] 合约:m1705,最新价:2869,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2865,涨停价:3042,跌停价:2754,更新时间:10:11:59,毫秒数:372,平均价:2884.47682249315,最新价与平均价距离:-15.4768224931513,成交量:732952,交易日:20170310 
10:13:01.508 DEBUG [7] 合约:m1705,最新价:2867,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2865,涨停价:3042,跌停价:2754,更新时间:10:12:59,毫秒数:825,平均价:2884.44701232766,最新价与平均价距离:-17.4470123276551,成交量:734284,交易日:20170310 
10:14:02.622 DEBUG [7] 合约:m1705,最新价:2868,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2865,涨停价:3042,跌停价:2754,更新时间:10:13:59,毫秒数:799,平均价:2884.4161283833,最新价与平均价距离:-16.4161283833009,成交量:735672,交易日:20170310 
10:30:01.606 DEBUG [7] 合约:m1705,最新价:2868,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2865,涨停价:3042,跌停价:2754,更新时间:10:14:58,毫秒数:710,平均价:2884.36376420859,最新价与平均价距离:-16.3637642085869,成交量:738110,交易日:20170310 
10:31:02.613 DEBUG [7] 合约:m1705,最新价:2868,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2865,涨停价:3042,跌停价:2754,更新时间:10:30:59,毫秒数:149,平均价:2884.29413684736,最新价与平均价距离:-16.2941368473585,成交量:741410,交易日:20170310 
10:32:02.001 DEBUG [7] 合约:m1705,最新价:2868,开盘价:2891,昨结价:2898,昨收价:2898,最高价:2901,最低价:2865,涨停价:3042,跌停价:2754,更新时间:10:31:59,毫秒数:863,平均价:2884.26682429485,最新价与平均价距离:-16.2668242948471,成交量:742676,交易日:20170310 
