09:00:25.453 DEBUG [7] 合约:i1709,最新价:499,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497,涨停价:551,跌停价:470,更新时间:09:00:23,毫秒数:966,平均价:510.619203403661,最新价与平均价距离:-11.6192034036608,成交量:664226,交易日:20170417 
09:00:25.948 DEBUG [7] 合约:i1709,最新价:499,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497,涨停价:551,跌停价:470,更新时间:09:00:24,毫秒数:444,平均价:510.615352778279,最新价与平均价距离:-11.6153527782795,成交量:664440,交易日:20170417 
09:00:26.453 DEBUG [7] 合约:i1709,最新价:498.5,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497,涨停价:551,跌停价:470,更新时间:09:00:24,毫秒数:961,平均价:510.602145073607,最新价与平均价距离:-12.1021450736072,成交量:665152,交易日:20170417 
09:00:26.954 DEBUG [7] 合约:i1709,最新价:500,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497,涨停价:551,跌停价:470,更新时间:09:00:25,毫秒数:467,平均价:510.5949028375,最新价与平均价距离:-10.5949028374996,成交量:665586,交易日:20170417 
09:00:27.450 DEBUG [7] 合约:i1709,最新价:500,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497,涨停价:551,跌停价:470,更新时间:09:00:25,毫秒数:971,平均价:510.593275207831,最新价与平均价距离:-10.5932752078307,成交量:665686,交易日:20170417 
09:00:27.949 DEBUG [7] 合约:i1709,最新价:499.5,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497,涨停价:551,跌停价:470,更新时间:09:00:26,毫秒数:470,平均价:510.590836181883,最新价与平均价距离:-11.0908361818827,成交量:665836,交易日:20170417 
09:00:28.451 DEBUG [7] 合约:i1709,最新价:500,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497,涨停价:551,跌停价:470,更新时间:09:00:26,毫秒数:971,平均价:510.586279525727,最新价与平均价距离:-10.5862795257269,成交量:666114,交易日:20170417 
09:00:28.949 DEBUG [7] 合约:i1709,最新价:500,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497,涨停价:551,跌停价:470,更新时间:09:00:27,毫秒数:463,平均价:510.582601479116,最新价与平均价距离:-10.5826014791159,成交量:666344,交易日:20170417 
09:00:29.449 DEBUG [7] 合约:i1709,最新价:500,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497,涨停价:551,跌停价:470,更新时间:09:00:27,毫秒数:966,平均价:510.580640514716,最新价与平均价距离:-10.5806405147165,成交量:666464,交易日:20170417 
09:00:29.949 DEBUG [7] 合约:i1709,最新价:500,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497,涨停价:551,跌停价:470,更新时间:09:00:28,毫秒数:471,平均价:510.577017804377,最新价与平均价距离:-10.5770178043769,成交量:666690,交易日:20170417 
